Name,Location Code,Region,Site,Sample Collection Date,Latitude,Longitude,Elevation (m),Total C,Total C,Total N,Total N,pH,ph,Microbial Biomass (µmols 12C á g dry wt soil),Microbial Biomass (µmols 12C á g dry wt soil),Soil Classification,Tree Cover,Climatic Zone,Annual Mean Temp (¡C),Precipitation - Warmest Quarter (mm),Country
,,,,,,,,Organic layer,Mineral layer,Organic layer,Mineral layer,Organic layer,Mineral layer,Organic layer,Mineral layer,,,,,,
Fensom,BSON,Ontario,A7,7/3/2011,49.07,-89.41,445,43.5 ± 2.4,1.97 ± 0.5,1.04 ± 0.06,0.09 ± 0.03,4.28 ± 0.1,5.26 ± 0.1,5.99,1.07,Orthic Dystric Brunisol,Black Spruce,"Dfb, Humid Continental warm summer",2.4,266,Canada
Fensom,BSON,Ontario,A8,7/4/2011,49.08,-89.38,450,45.3 ± 0.8,2.51 ± 0.8,1.05 ± 0.05,0.11 ± 0.02,4.32 ± 0.4,5.10 ± 0.2,4.51,1.4,Orthic Dystric Brunisol,Black Spruce,"Dfb, Humid Continental warm summer",1.8,266,Canada
Fensom,BSON,Ontario,A9,7/5/2011,49.07,-89.39,442,44.5 ± 0.9,1.51 ± 0.4,1.13 ± 0.11,0.08 ± 0.02,4.76 ± 0.1,5.63 ± 0.2,4.58,0.89,Gleyed Dystric Brunisol,Black Spruce,"Dfb, Humid Continental warm summer",1.5,266,Canada
Brandy City,PPCA,California,BR,6/22/2011,39.55,-121.04,1135,38.5 ± 4.8,7.27 ± 0.7,1.35 ± 0.09,0.33 ± 0.06,5.63 ± 0.7,6.30 ± 0.4,3.83,1.77,Mesic Ultic Haploxeralfs,"Ponderosa pine, sugar pine, white fir, giant sequoia","Csa, Mediterranean hot summer",11.2,55,USA
Blodgett,PPCA,California,BL,9/16/2011,38.88,-120.64,1350,29.8,5.56 ± 1.6,0.89,0.23 ± 0.04,4.90 ± 0.4,5.65 ± 0.3,5.97,1.52,Mesic Ultic Haploxeralfs,"Ponderosa pine, sugar pine, white fir, giant sequoia","Csa, Mediterranean hot summer",11.2,55,USA
Lowell Hill,PPCA,California,LH,9/16/2011,39.26,-120.78,1268,38.0 ± 6.0,4.79 ± 0.8,1.17 ± 0.24,0.23 ± 0.02,5.38 ± 0.4,6.37 ± 0.3,2.38,1.17,Mesic Ultic Haploxeralfs,"Ponderosa pine, sugar pine, white fir, giant sequoia","Csa, Mediterranean hot summer",11.2,55,USA
Wells,JPON,Ontario,JW,7/7/2011,46.42,-83.37,228,37.5 ± 0.9,2.40 ± 0.8,1.13 ± 0.10,0.17 ± 0.05,4.15 ± 0.1,4.99 ± 0.8,7.69,1,Orthic Humo-Ferric Podzol,"Jack Pine, Black Spruce, Red Pine","Dfb, Humid Continental cool summer",4.4,248,Canada
Superior,JPON,Ontario,JS,8/4/2011,47.57,-82.85,426,45.1 ± 0.8,1.04 ± 0.1,1.25 ± 0.01,0.07 ± 0.04,3.69 ± 0.1,5.06 ± 0.1,8,1.06,Orthic Dystric Brunisol,"Jack Pine, Black Spruce","Dfb, Humid Continental cool summer",1.7,250,Canada
Eddy,JPON,Ontario,JE,8/3/2011,46.75,-82.25,490,40.1 ± 2.8,2.31 ± 0.5,1.31 ± 0.09,0.14 ± 0.03,3.65 ± 0.1,4.87 ± 0.1,9.84,1.42,NA,"Jack Pine, Balsam fir, White birch","Dfb, Humid Continental cool summer",2.8,242,Canada
Kurth,LPTX,Texas,TXA,3/12/2012,31.11,-95.15,88,NA,NA,NA,NA,NA,NA,4.47,0.45,Aquic Glossudalfs,"Loblolly Pine, Beautyberry, Yaupon, Sweetgum, Oaks, Wax Myrtle","Cfa, Humid subtropical",19.0,253,USA
Kurth,LPTX,Texas,TXB,3/12/2012,31.11,-95.15,88,NA,NA,NA,NA,NA,NA,6.12,0.21,Aquic Glossudalfs,"Loblolly Pine, Beautyberry, Yaupon, Sweetgum, Oaks, Wax Myrtle","Cfa, Humid subtropical",19.0,253,USA
Kurth,LPTX,Texas,TXC,3/12/2012,31.11,-95.15,88,19.0 ± 5.7,NA,0.65 ± 0.13,NA,4.34 ± 0.3,NA,6,0.22,Aquic Glossudalfs,"Loblolly Pine, Beautyberry, Yaupon, Sweetgum, Oaks, Wax Myrtle","Cfa, Humid subtropical",19.0,253,USA
O'Connor Lake,IDFBC,British Columbia,OC,6/26/2010,50.88,-120.35,1075,44.2,1.81,1.39,0.1,5.41,5.68,16.03,0.23,Brunisolic Gray Luvisol,Douglas fir,"Dfb, Humid Continental warm summer",2.5,300,Canada
O'Connor Lake,IDFBC,British Columbia,OC,6/26/10,50.88,-120.35,1075,44.2,1.81,1.39,0.1,5.41,5.68,16.03,0.23,Brunisolic Gray Luvisol,Douglas fir,"Dfb, Humid Continental warm summer",2.5,300,Canada