ID	reSRR3584976_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584987_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Archaea	100.0	0.0	0.0	0.0	48.51253	4.07439	0.0	0.0	100.0	19.97074	30.40734	1.38493
k__Archaea|p__Thaumarchaeota	100.0	0.0	0.0	0.0	48.51253	4.07439	0.0	0.0	100.0	19.97074	30.40734	1.38493
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname	100.0	0.0	0.0	0.0	48.51253	4.07439	0.0	0.0	100.0	19.97074	30.40734	1.38493
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales	100.0	0.0	0.0	0.0	48.51253	4.07439	0.0	0.0	100.0	19.97074	30.40734	1.38493
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae	100.0	0.0	0.0	0.0	48.51253	4.07439	0.0	0.0	100.0	19.97074	30.40734	1.38493
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilaceae_unclassified	100.0	0.0	0.0	0.0	48.51253	4.07439	0.0	0.0	100.0	19.97074	30.40734	1.38493
k__Bacteria	0.0	0.0	100.0	100.0	51.48747	95.92561	100.0	100.0	0.0	80.02926	69.59266	98.61507
k__Bacteria|p__Actinobacteria	0.0	0.0	0.0	0.0	0.0	59.77631	0.0	0.0	0.0	0.0	0.0	98.61507
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0	0.0	0.0	0.0	0.0	59.77631	0.0	0.0	0.0	0.0	0.0	98.61507
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	59.77631	0.0	0.0	0.0	0.0	0.0	98.61507
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae	0.0	0.0	0.0	0.0	0.0	59.77631	0.0	0.0	0.0	0.0	0.0	98.61507
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacteriaceae_unclassified	0.0	0.0	0.0	0.0	0.0	59.77631	0.0	0.0	0.0	0.0	0.0	98.61507
k__Bacteria|p__Cyanobacteria	0.0	0.0	1.76767	2.38269	51.48747	0.0	2.90929	0.0	0.0	0.0	69.59266	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname	0.0	0.0	1.76767	2.38269	51.48747	0.0	2.90929	0.0	0.0	0.0	69.59266	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Chroococcales	0.0	0.0	1.76767	2.38269	20.00044	0.0	2.90929	0.0	0.0	0.0	69.59266	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Chroococcales|f__Chroococcales_noname	0.0	0.0	1.76767	2.38269	20.00044	0.0	2.90929	0.0	0.0	0.0	69.59266	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Chroococcales|f__Chroococcales_noname|g__Cyanobium	0.0	0.0	1.76767	2.38269	20.00044	0.0	2.90929	0.0	0.0	0.0	69.59266	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Chroococcales|f__Chroococcales_noname|g__Cyanobium|s__Cyanobium_unclassified	0.0	0.0	1.76767	2.38269	20.00044	0.0	2.90929	0.0	0.0	0.0	69.59266	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Nostocales	0.0	0.0	0.0	0.0	31.48703	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Nostocales|f__Nostocaceae	0.0	0.0	0.0	0.0	31.48703	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Nostocales|f__Nostocaceae|g__Anabaena	0.0	0.0	0.0	0.0	31.48703	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_noname|o__Nostocales|f__Nostocaceae|g__Anabaena|s__Anabaena_unclassified	0.0	0.0	0.0	0.0	31.48703	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	0.0	0.0	98.23233	97.61731	0.0	36.14931	97.09071	100.0	0.0	80.02926	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	0.0	0.0	67.25489	0.0	0.0	0.0	10.41718	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0.0	0.0	67.25489	0.0	0.0	0.0	10.41718	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	0.0	0.0	67.25489	0.0	0.0	0.0	10.41718	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas	0.0	0.0	67.25489	0.0	0.0	0.0	10.41718	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_unclassified	0.0	0.0	67.25489	0.0	0.0	0.0	10.41718	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.0	0.0	30.97744	97.61731	0.0	36.14931	82.09058	100.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.0	0.0	0.0	97.61731	0.0	36.14931	82.09058	96.74399	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	0.0	0.0	0.0	19.82913	0.0	0.0	58.96073	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	0.0	0.0	0.0	19.82913	0.0	0.0	58.96073	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia_unclassified	0.0	0.0	0.0	19.82913	0.0	0.0	58.96073	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname	0.0	0.0	0.0	77.78818	0.0	36.14931	23.12985	96.74399	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas	0.0	0.0	0.0	77.78818	0.0	36.14931	23.12985	96.74399	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Thiomonas|s__Thiomonas_unclassified	0.0	0.0	0.0	77.78818	0.0	36.14931	23.12985	96.74399	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales	0.0	0.0	30.97744	0.0	0.0	0.0	0.0	3.25601	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae	0.0	0.0	30.97744	0.0	0.0	0.0	0.0	3.25601	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae|g__Hydrogenophilaceae_unclassified	0.0	0.0	30.97744	0.0	0.0	0.0	0.0	3.25601	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	4.58295	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Epsilonproteobacteria_noname	0.0	0.0	0.0	0.0	0.0	0.0	4.58295	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Epsilonproteobacteria_noname|f__Epsilonproteobacteria_noname	0.0	0.0	0.0	0.0	0.0	0.0	4.58295	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Epsilonproteobacteria_noname|f__Epsilonproteobacteria_noname|g__Epsilonproteobacteria_noname_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	4.58295	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.02926	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.02926	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.02926	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.02926	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.02926	0.0	0.0
unclassified	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
